instance_id,feature_set,seed,position,feature,shap_value,decision,is_trap
loan3_18,3feat,42,3,Employment_Length,0.47,approved,True
loan3_19,3feat,42,1,Recent_Inquiries,0.56,approved,False
loan3_19,3feat,42,2,Employment_Length,0.14,approved,False
loan3_19,3feat,42,3,Loan_Amount,-0.07,approved,False
loan3_20,3feat,42,1,Employment_Length,0.54,approved,True
loan3_20,3feat,42,2,Credit_Score,-0.34,approved,True
loan3_20,3feat,42,3,Recent_Inquiries,0.22,approved,True
loan3_21,3feat,42,1,Debt_Ratio,-0.16,denied,True
loan3_21,3feat,42,2,Loan_Amount,0.22,denied,True
loan3_21,3feat,42,3,Credit_Score,-0.48,denied,True
loan3_22,3feat,42,1,Employment_Length,-0.11,denied,True
loan3_22,3feat,42,2,Annual_Income,0.13,denied,True
loan3_22,3feat,42,3,Credit_Score,-0.28,denied,True
loan3_23,3feat,42,1,Recent_Inquiries,0.48,approved,True
loan3_23,3feat,42,2,Credit_Score,0.06,approved,True
loan3_23,3feat,42,3,Loan_Amount,-0.11,approved,True
loan3_24,3feat,42,1,Annual_Income,-0.53,approved,True
loan3_24,3feat,42,2,Debt_Ratio,0.38,approved,True
loan3_24,3feat,42,3,Recent_Inquiries,0.28,approved,True
loan6_00,6feat,43,1,Loan_Amount,0.17,approved,True
loan6_00,6feat,43,2,Debt_Ratio,-0.46,approved,True
loan6_00,6feat,43,3,Recent_Inquiries,0.2,approved,True
loan6_00,6feat,43,4,Employment_Length,0.28,approved,True
loan6_00,6feat,43,5,Annual_Income,-0.3,approved,True
loan6_00,6feat,43,6,Credit_Score,0.58,approved,True
loan6_01,6feat,43,1,Annual_Income,0.36,approved,True
loan6_01,6feat,43,2,Recent_Inquiries,0.12,approved,True
loan6_01,6feat,43,3,Debt_Ratio,0.24,approved,True
loan6_01,6feat,43,4,Credit_Score,0.33,approved,True
loan6_01,6feat,43,5,Loan_Amount,-0.22,approved,True
loan6_01,6feat,43,6,Employment_Length,-0.28,approved,True
loan6_02,6feat,43,1,Recent_Inquiries,0.57,denied,True
loan6_02,6feat,43,2,Loan_Amount,-0.32,denied,True
loan6_02,6feat,43,3,Debt_Ratio,0.22,denied,True
loan6_02,6feat,43,4,Credit_Score,-0.21,denied,True
loan6_02,6feat,43,5,Employment_Length,-0.3,denied,True
loan6_02,6feat,43,6,Annual_Income,-0.4,denied,True
loan6_03,6feat,43,1,Debt_Ratio,-0.46,denied,True
loan6_03,6feat,43,2,Loan_Amount,-0.36,denied,True
loan6_03,6feat,43,3,Credit_Score,-0.32,denied,True
loan6_03,6feat,43,4,Annual_Income,-0.55,denied,True
loan6_03,6feat,43,5,Recent_Inquiries,0.33,denied,True
loan6_03,6feat,43,6,Employment_Length,-0.35,denied,True
loan6_04,6feat,43,1,Debt_Ratio,0.17,denied,True
loan6_04,6feat,43,2,Recent_Inquiries,-0.14,denied,True
loan6_04,6feat,43,3,Employment_Length,-0.32,denied,True
loan6_04,6feat,43,4,Credit_Score,-0.4,denied,True
loan6_04,6feat,43,5,Loan_Amount,-0.07,denied,True
loan6_04,6feat,43,6,Annual_Income,-0.12,denied,True
loan6_05,6feat,43,1,Debt_Ratio,0.16,approved,True
loan6_05,6feat,43,2,Employment_Length,0.15,approved,True
loan6_05,6feat,43,3,Credit_Score,-0.29,approved,True
loan6_05,6feat,43,4,Annual_Income,0.27,approved,True
loan6_05,6feat,43,5,Recent_Inquiries,0.09,approved,True
loan6_05,6feat,43,6,Loan_Amount,0.58,approved,True
loan6_06,6feat,43,1,Employment_Length,0.08,denied,True
loan6_06,6feat,43,2,Debt_Ratio,-0.51,denied,True
loan6_06,6feat,43,3,Annual_Income,-0.4,denied,True
loan6_06,6feat,43,4,Credit_Score,0.32,denied,True
loan6_06,6feat,43,5,Recent_Inquiries,-0.45,denied,True
loan6_06,6feat,43,6,Loan_Amount,0.05,denied,True
loan6_07,6feat,43,1,Annual_Income,-0.29,approved,True
loan6_07,6feat,43,2,Debt_Ratio,0.48,approved,True
loan6_07,6feat,43,3,Employment_Length,-0.1,approved,True
loan6_07,6feat,43,4,Recent_Inquiries,0.18,approved,True
loan6_07,6feat,43,5,Credit_Score,0.55,approved,True
loan6_07,6feat,43,6,Loan_Amount,0.11,approved,True
loan6_08,6feat,43,1,Loan_Amount,-0.52,approved,True
loan6_08,6feat,43,2,Debt_Ratio,0.32,approved,True
loan6_08,6feat,43,3,Employment_Length,0.5,approved,True
loan6_08,6feat,43,4,Recent_Inquiries,0.24,approved,True
loan6_08,6feat,43,5,Annual_Income,0.07,approved,True
loan6_08,6feat,43,6,Credit_Score,-0.16,approved,True
loan6_09,6feat,43,1,Employment_Length,0.16,denied,True
loan6_09,6feat,43,2,Recent_Inquiries,-0.36,denied,True
loan6_09,6feat,43,3,Loan_Amount,0.37,denied,True
loan6_09,6feat,43,4,Credit_Score,0.38,denied,True
loan6_09,6feat,43,5,Annual_Income,-0.45,denied,True
loan6_09,6feat,43,6,Debt_Ratio,-0.28,denied,True
